bh_pri_index;bh_pri_XCOORD;bh_pri_YCOORD;bh_pri_ZCOORDB;bh_pri_ORIGNAME;bh_pri_NAMEPUB;bh_pri_SHORTNAME;bh_pri_BOHREDAT;bh_pri_BOHRTYP;bh_pri_GRUND;bh_pri_RESTRICTIO;bh_pri_TIEFEMD;bh_pri_DEPTHFROM;bh_pri_DEPTHTO;bh_pri_LAYERDESC;bh_pri_ORIGGEOL;bh_pri_LITHOLOGY;bh_pri_LITHOSTRAT;bh_pri_CHRONOSTR;bh_pri_TECTO;bh_pri_USCS1;bh_pri_USCS2;bh_pri_USCS3;bh_pri_geom4326;bh_pri_geom2056;bh_pri_x4326;bh_pri_y4326
3197;2700389.15;1278809.83;415.89;Cholfirst KB A3/2;Cholfirst KB A3/2;8AIJK8Y900;18.11.1994 00:00;B;erst;g;65;45.2;46.2;schwach siltiger Mittelsand, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.774860123838478 47.652245698677056);POINT (2700389.15 1278809.83);8.774860124;47.6522457
3235;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;50;51.6;toniger Kies mit reichlich Sand, grau, dicht bei 51.20 Stein Durchmesser 25 cm;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3224;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;38.2;39;toniger Kies mit reichlich Sand, grau, Durchmesser bis 10 cm;Buechbergschotter, lehmig;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3225;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;39;41.4;toniger Kies mit reichlich Sand und mit Steinen bis 15 cm Durchmesser, grau von 40.00-40.35 und 40.80 -40.90 siltiger Sand bis sandiger Silt (SM, ML);Buechbergschotter, lehmig;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3227;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;41.8;42;sandiger bis schwach toniger Silt gebändert, dicht, grau;siltig sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3228;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;42;42.9;siltiger Fein- bis Mittelsand, gebändert, einzelne Gerölle bis 5 cm Durchmesser, grau;Siltig sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3229;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;42.9;44;stark toniger Kies, grau, dicht, z.T. toniger Silt mit viel Kies;Moräne;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3230;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;44;47.4;toniger Kies mit reichlich Sand und einzelnen Steinen bis 10 cm Durchmesser, grau, dicht, einzelne stärker siltige Lagen;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3231;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;47.4;48.2;stark siltiger bis toniger Kies mit einzelnen Steinen bis 10 cm Durchmesser, grau;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3232;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;48.2;49.1;sauberer bis schwach siltiger Mittel- bis Grobsand, gebändert mit dünnen, siltigen bis schwach tonigen Feinsandlagen, grau;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3233;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;49.1;49.2;siltiger Feinsand bis sandiger Silt, gebändert, grau;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3234;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;49.2;50;siltiger bis toniger Sand, z.T. gebändert, z.T. mit reichlich bis viel Kies, grau;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3221;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;31;33;schwach siltiger, z.T. schwach toniger Mittel- bis Grobsand mit wenig bis reichlich Kies, Durchmesser bis 8 cm, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3236;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;51.6;52.7;siltiger bis toniger Sand, z.T. gebändert, z.T. mit wenig bis reichlich Kies, grau;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3220;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;27.4;31;siltiger Fein- bis Mittelsand, z.T. mit Siltlagen gebändert, grau;sandige Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
3237;2700182.02;1279473.18;414.15;Cholfirst KB A3/3;Cholfirst KB A3/3;CE7B09Y900;01.11.1994 00:00;B;erst;g;56;52.7;53.6;toniger Kies mit reichlich Sand und einzelnen Steinen bis 10 cm Durchmesser, grau;kiesige Moräne mit Zwischenlagen aus sandig-siltigen Seeablagerungen;UNC;;q;;;;;POINT (8.772253704413366 47.65824228293372);POINT (2700182.02 1279473.18);8.772253704;47.65824228
