bh_pub_index;bh_pub_XCOORD;bh_pub_YCOORD;bh_pub_ZCOORDB;bh_pub_ORIGNAME;bh_pub_NAMEPUB;bh_pub_SHORTNAME;bh_pub_BOHREDAT;bh_pub_BOHRTYP;bh_pub_GRUND;bh_pub_RESTRICTIO;bh_pub_TIEFEMD;bh_pub_DEPTHFROM;bh_pub_DEPTHTO;bh_pub_LAYERDESC;bh_pub_ORIGGEOL;bh_pub_LITHOLOGY;bh_pub_LITHOSTRAT;bh_pub_CHRONOSTR;bh_pub_TECTO;bh_pub_USCS1;bh_pub_USCS2;bh_pub_USCS3;bh_pub_geometry;bh_pub_geom4326;bh_pub_x4326;bh_pub_y4326
65799;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;318.0;324.0;"Tonmergelstein, gelbbraun, hell- bis mittelgrau und grünlichgrau, schwach siltig, feinstglimmerstaubig, fest, überwiegend verschmandet; daneben ca. 50 % Mittelsandstein wie in Sp. 314 - 316 m; ferner mehrfach schwarze, glänzende Kohlebröckchen; vereinzelt hellgraue, schwach feinsandige, splitterig- harte Kalksteinbröckchen (s. pdf S.32).";Untere Süsswassermolasse;Vlit402_028;;poC;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65800;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;324.0;332.0;"Mittelsandstein, hellmittelgrau, grünstichig, durchschnittliche Korngröße 0,2-0,4 mm, vereinzelt in Feinmittelsandstein übergehend, meist stark kalkig, dunkle und helle, mittel- bis grobkörnige Glimmerblättchen, grünliche Mineralien, nicht selten blaßrötliche und in Sp. 322 m etwas häufiger weiße, kaolinisierte Fel6späte, fest bis mittelhart, z.T. schwach absandend, bröckelig bis splitterig brecilend, in Sp. 322 m meist in groben Splittern vorliegend, z.T. mit kleinen schwarzen, glänzenden Kohlebröckchen; daneben ca. 25 %, in Sp. 322 m sehr wenig und in gröberen Bröckchen Tonmergelstein wie in Sp. 318 m, z.T. verschmandet.";Untere Süsswassermolasse;Vlit402_009;;poC;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65802;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;332.0;336.0;"Tonmergelstein bis Mergeltonstein, vorwiegend gelbbraun, mittelgraugrünlich, auch dunkelrotbraun, schwach bis mäßig siltig, fest, meist verschmandet; ferner in Sp. 330 m sehr wenig mittel- bis dunkelgrauer, schwach siltiger und schwach kalkiger, milder Tonstein; daneben 15-30% in Sp. 328 + 332 m wenig Mittelsandstein, hellmittelgrau wie in Sp. 320 - 324 m, in Sp. 328 m überwiegend als Grobsplitter; in Sp. 330 m vereinzelt Feinsandstein, gelbbraun, ziemlich kalkig und tonig, feinglimmerig.";Untere Süsswassermolasse;Vlit402_028;;poC;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65803;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;336.0;338.0;"Feinsandstein bis Siltstein, gelbbraun, selten auch mittelgrau, z.T. blaßrot gefleckt, selten auch mittelgrau, gelbstichig, Korngrößen um 0,1 mm, stark kalkig, fein- bis mittelkörnige, helle und dunkle Glimmer, grünliche Mineralkörner, fest; ganz untergeordnet hellmittelgrauer Mittelsandstein wie in Sp. 320 - 324 m, in Sp. 336 m übergehend in Mittelsandstein mit Korngrößen bis max. 0,3 mm; ferner viel Mergeltonstein, mittelgraugrünlich, gelbbraun und dunkelrotbraun, schwach bis mäßig sandig, besonders in Sp. 336 m mit Übergängen zu kalkigen Siltstein, feinstglimmerstaubig, fest, z.T. zerbohrt.";Untere Süsswassermolasse;Vlit402_009;;poC;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65804;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;338.0;340.0;"Kalkstein, wechselnd hellbräunlichgrau, blassrotbraun, schwach feinsandig, feinkristallin, hart, splitterig brechend; daneben viel Fein- bis Mittelsandstein sowie Mergeltonstein und Siltstein wie in Sp. 334 + 336 m; ferner wenig hell- bis mittelgrauer Mittelsandstein wie in Sp. 320 - 324 m; einzelne Bröckchen von dunkelgrauem, siltigem Tonmergelstein mit Kalkschalerresten.";Barrémien;Vlit402_034;;cfBa;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65767;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;340.0;344.0;"Kalkstein, hellgrau, schwach gelbstichig, auch weißgraugelbstichig, blaßrötlichbraun, schwach feinsandig (einzelne Sandkörner), feinkristallin, hart, splitteriger Bruch, im Spülgut zu ca. 40 % enthalten; daneben Tonmergel bis Mergeltonstein, gelblichbraun, mittelgraugrünlich und dunkelrotbraun, verschieden siltig und glimmerstaubig, fest; ca. 5 - 10 % gelbbraune Fein- und Mittelsandsteinbröckchen wie in Sp. 334 + 336 m und sehr wenig hellmittelgraue, kalkige, helle und dunkle, glimmerführende Mittelsandsteinbröckchen.";Barremien;Vlit402_033;;cfBa;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65768;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;344.0;346.0;"Kalkstein, hellgelbbraun mit blaßrötlichbraunen Farbtönen, schwach fein- bis mittelsandig, mittel- bis grobkristallin, z .T. etwas grobsplitterig, selten deutlich erkennbare Echinodermenreste, nicht selten rundliche bis 1 mm große, pseudoolithische Gebilde, ganz selten einzelne dunkelgrüne Glaukonitkörner und kleine Pyritaggregate, hart, unregelmäßig-ruppiger Bruch, im Spülgut zu ca. 90 - 95 % enthalten; ca. 5 % Kalkstein wie in Sp. 340 m; hellgelbbrauner Kalkstein zeigt keine Kalklumineszenz zum Unterschied vom Kalkstein in Sp. 340 m, der fahlgelblich luminesziert; daneben ganz untergeordnet Tonmergel- bis Mergeltonstein, sowie hellmittelgrauer Mittelsandstein wie in Sp. 340 m und gelblichbrauner, z.T. in Mittelsandstein übergehender Feinsandstein wie in Sp . 334 + 336 m.";Barremien;Vlit402_034;;cfBa;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65769;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;346.0;354.0;"Kalkstein, gelbbraun, seltener auch hellgelbbraun, verschiedene Brauntöne, etwas mergelig, sehr schwach feinsandig, gelegentlich pseudo-oolitische bis 0,5 mm große Gebilde ohne konzentrisch-schaligen Aufbau, nicht selten um 0,1 mm große, dunkel grüne Glaukonitkörner, i.a. grobkristallin, hart, unregelmäßig- splitteriger bis ruppiger Bruch; daneben sehr wenig Mittelsandstein, mittelgraugrünlich, stark kalkig schwach tonig, glisrnerführend, grünliche Mineralkörner, gelegentlich weißverwitterte Feldspäte und blaßrötliche Quarzkörner, fest; sehr spärlich olivgrau- bräunliche, siltige, feinstglimmerige Tonmergelsteinbröckchen (Molasse, wohl noch vom Sieb herstammend); weiße Zementbröckchen, z.T. mit groben Quarzkörnern, sowie Einzelquarze bis 5 mm Größe.";Barremien;Vlit402_033;;cfBa;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65764;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;354.0;356.0;"Kalkstein, hellgelbbraun, z.T. ins Hellgraue übergehend, sehr schwach feinsandig (?), ziemlich häufig mittel- bis dunkelgrüne Glaukonitkörner und -aggregate von bis zu 1 mm Größe, nicht selten spätige Fossilreste, schwach pseudoolithisch mit bis 1 mm großen Kalkooiden, mittel- bis grobkristallin, hart, unregelmässig splitterig-ruppiger Bruch; daneben untergeordnet Kalkstein, gelbbraun, etwas mergelig, feinkristallin mit zahlreichen braunen, rundlichen, pseudo-kalkoolithischen Gebilden bis 0,5 mm Größe (z.T. wohl gerollte Fossiltrümmer), vereinzelt weißliche Kalzitbröckchen, wahrscheinlich von Klüften herrührend; spärlich Mittelsandsteinbröckchen wie in Sp. 346 m.";Barremien;Vlit402_033;;cfBa;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65770;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;356.0;360.0;"Kalkstein, gelbbraun, manchmal blaßrötlich gefleckt, sehr schwach feinsandig, häufig grüne, bis 1 mm große Glaukonitkörner und -aggregate, häufig pseudoolithisch, Kalkooide z.T. zu kleinen Häufchen angereichert, Ooid-grösse durchschnittlich um 0,3 mm, max. bis 0,5 mm, gelegentlich Echinodermenreste, hart, unregelmäßig kleinsplitterig brechend; einzelne kleine, weiße Kalzitsplitter.";Barremien;Vlit402_033;;cfBa;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65825;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;360.0;370.0;"Kalkstein, gelbbraun, z.T. blaßrötlich- bräunlich, in Sp. 364 m etwas heller getönt, schwach feinsandig, häufig dunkelgrüne Glaukonitkörner, selten spätige Fossiltrümmer, häufig kalkoolithisch, neben pseudoolithischen Gebilden auch seltener konzentrisch- schalige Ooide bis 0,5 mm, mittelhart bis hart, unregelmäßig- splitteriger oder bröckeliger Bruch; in Sp. 366 m ca. 15 %, in Sp. 368 m vereinzelt Kalkstein, weißgrau, mäßig hart, sonst wie oben, mehrfach weiße oder blaßrötliche Kalzitbröckchen (Kluftkalzit), sehr selten Mittelsandstein bröckchen wie in Sp. 346 m. (Obere Pierre jaune)";Ober-hauterivien;Vlit402_033;;cfH;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
65826;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;370.0;380.0;"Kalkstein, gelbbraun wie in Sp. 362 - 370 m, in Sp. 376 m Ooidführung jedoch zurückgehend; daneben untergeordnet, in Sp. 374 m etwas häufiger übergehend in Kalkstein, gelbbraun, schwach mergelig und siltig, z.T. oolithisch, fest bis mittelhart, bröckelig brechend; ferner 10-20 % gelbbrauner, schwach siltiger, mergeliger Schmand; Kalzitsplitter (Untere Pierre jaune).";Ober-Hauterivien;Vlit402_033;;cfH;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
